characteristic_id,characteristic_name,usgs_pcode
1,".alpha.-1,2,3,4,5,6-Hexachlorocyclohexane-D6 or alpha-HCH D6",91065.0
2,.alpha.-Endosulfan,UNKNOWN
3,.alpha.-Hexachlorocyclohexane,34253.0
4,.alpha.-Hexachlorocyclohexane,UNKNOWN
5,.beta.-Endosulfan,UNKNOWN
6,.beta.-Hexachlorocyclohexane,UNKNOWN
7,.delta.-Hexachlorocyclohexane,UNKNOWN
8,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",UNKNOWN
9,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",UNKNOWN
10,"1,6,7-Trimethylnaphthalene",UNKNOWN
11,1-Methylnaphthalene,UNKNOWN
12,1-Methylphenanthrene,UNKNOWN
13,1rs Cis-Permethrin,82687.0
14,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",UNKNOWN
15,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",UNKNOWN
16,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",UNKNOWN
17,"2,2',3,3',4,4',5-Heptachlorobiphenyl",UNKNOWN
18,"2,2',3,3',4,4'-Hexachlorobiphenyl",UNKNOWN
19,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",UNKNOWN
20,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",UNKNOWN
21,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",UNKNOWN
22,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",UNKNOWN
23,"2,2',3,4',5',6-Hexachlorobiphenyl",UNKNOWN
24,"2,2',3,4',5'-Pentachlorobiphenyl",UNKNOWN
25,"2,2',3,4',5,5',6-Heptachlorobiphenyl",UNKNOWN
26,"2,2',3,4,4',5',6-Heptachlorobiphenyl",UNKNOWN
27,"2,2',3,4,4',5'-Hexachlorobiphenyl",UNKNOWN
28,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",UNKNOWN
29,"2,2',3,4,5'-Pentachlorobiphenyl",UNKNOWN
30,"2,2',3,4,5,5',6-Heptachlorobiphenyl",UNKNOWN
31,"2,2',3,4,5,5'-Hexachlorobiphenyl",UNKNOWN
32,"2,2',3,5',6-Pentachlorobiphenyl",UNKNOWN
33,"2,2',3,5'-Tetrachlorobiphenyl",UNKNOWN
34,"2,2',3,5,5',6-Hexachlorobiphenyl",UNKNOWN
35,"2,2',4,4',5,5'-Hexachlorobiphenyl",UNKNOWN
36,"2,2',4,4',5-Pentachlorobiphenyl",UNKNOWN
37,"2,2',4,5'-Tetrachlorobiphenyl",UNKNOWN
38,"2,2',4,5,5'-Pentachlorobiphenyl",UNKNOWN
39,"2,2',5,5'-Tetrachlorobiphenyl",UNKNOWN
40,"2,2',5-Trichlorobiphenyl",UNKNOWN
41,"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",UNKNOWN
42,"2,3',4',5-Tetrachlorobiphenyl",UNKNOWN
43,"2,3',4'-Trichlorobiphenyl",UNKNOWN
44,"2,3',4,4',5',6-Hexachlorobiphenyl",UNKNOWN
45,"2,3',4,4',5'-Pentachlorobiphenyl",UNKNOWN
46,"2,3',4,4',5,5'-Hexachlorobiphenyl",UNKNOWN
47,"2,3',4,4',5-Pentachlorobiphenyl",UNKNOWN
48,"2,3',4,4',6-Pentachlorobiphenyl",UNKNOWN
49,"2,3',4,4'-Tetrachlorobiphenyl",UNKNOWN
50,"2,3,3',4',6-Pentachlorobiphenyl",UNKNOWN
51,"2,3,3',4'-Tetrachlorobiphenyl",UNKNOWN
52,"2,3,3',4,4',5'-Hexachlorobiphenyl",UNKNOWN
53,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",UNKNOWN
54,"2,3,3',4,4',5-Hexachlorobiphenyl",UNKNOWN
55,"2,3,3',4,4',6-Hexachlorobiphenyl",UNKNOWN
56,"2,3,3',4,4'-Pentachlorobiphenyl",UNKNOWN
57,"2,3,3',4,6-Pentachlorobiphenyl",UNKNOWN
58,"2,3,4,4',5-Pentachlorobiphenyl",UNKNOWN
59,"2,3,5,6-Tetrachlorobiphenyl",UNKNOWN
60,"2,3,5-Trimethylnaphthalene***retired***use 1,6,7-Trimethylnaphthalene",UNKNOWN
61,"2,3,6-Trichlorobiphenyl",UNKNOWN
62,"2,4',5-Trichlorobiphenyl",UNKNOWN
63,"2,4'-Dichlorobiphenyl",UNKNOWN
64,"2,4,4',5-Tetrachlorobiphenyl",UNKNOWN
65,"2,4,4'-Trichlorobiphenyl",UNKNOWN
66,"2,4,5-Trichlorobiphenyl",UNKNOWN
67,"2,4-Dichlorobiphenyl",UNKNOWN
68,"2,5-Dichlorobiphenyl",UNKNOWN
69,"2,6-Dichlorobiphenyl",UNKNOWN
70,"2,6-Diethylaniline",82660.0
71,"2,6-Dimethylnaphthalene",UNKNOWN
72,2-Chloro-4-isopropylamino-6-amino-s-triazine,4040.0
73,2-Chlorobiphenyl,UNKNOWN
74,2-Methylnaphthalene,UNKNOWN
75,2-Methylphenanthrene,UNKNOWN
76,"3,3',4,4',5,5'-Hexachlorobiphenyl",UNKNOWN
77,"3,3',4,4',5-Pentachlorobiphenyl",UNKNOWN
78,"3,3',4,4'-Tetrachlorobiphenyl",UNKNOWN
79,"3,4,4',5-Tetrachlorobiphenyl",UNKNOWN
80,"3,4,4'-Trichlorobiphenyl",UNKNOWN
81,3-Chlorobiphenyl,UNKNOWN
82,"4,4'-Dibromo-2,2',3,3',5,5',6,6'-octafluorobiphenyl",UNKNOWN
83,4-Chlorobiphenyl,UNKNOWN
84,Absorbance at 280 nanometers,32296.0
85,Absorbance at 280 nm,UNKNOWN
86,Absorbance at 370 nanometers,32297.0
87,Absorbance at 412 nm,32298.0
88,Absorbance at 440 nm,32299.0
89,Absorption spectral slope (Sag),32300.0
90,Absorption spectral slope (Sag),32301.0
91,Absorption spectral slope (Sag),32302.0
92,Absorption spectral slope (Sag),32303.0
93,Acenaphthene,UNKNOWN
94,Acenaphthene-d10,UNKNOWN
95,Acenaphthylene,UNKNOWN
96,Acenaphthylene-d8,UNKNOWN
